trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
66,07:23:00,07:23:00,67,1,0,0,0.0000
66,07:27:00,07:27:00,39472,2,0,0,2.4008
66,07:35:00,07:35:00,35,3,0,0,7.1790
66,07:42:00,07:42:00,34,4,0,0,11.5528
66,07:47:00,07:47:00,96,5,0,0,14.1148
66,07:50:00,07:50:00,20,6,0,0,16.1411
66,07:56:00,07:56:00,147,7,0,0,20.1750
66,08:00:00,08:00:00,69,8,0,0,22.5758
66,08:04:00,08:04:00,98,9,0,0,24.4962
66,08:07:00,08:07:00,39635,10,0,0,25.2559
66,08:11:00,08:11:00,72,11,0,0,27.3875
66,08:17:00,08:17:00,38081,12,0,0,30.1992
66,08:20:00,08:20:00,89,13,0,0,31.2059
66,08:23:00,08:23:00,150,14,0,0,32.3661
66,08:26:00,08:26:00,153,15,0,0,33.2413
66,08:28:00,08:28:00,152,16,0,0,34.1019
66,08:32:00,08:32:00,14,17,0,0,34.7657
66,08:35:00,08:35:00,50,18,0,0,35.3684
66,08:37:00,08:37:00,19,19,0,0,35.9674
66,08:44:00,08:44:00,106,20,0,0,39.7809
66,09:03:00,09:03:00,63,21,0,0,47.5589
67,05:14:00,05:14:00,54,1,0,0,0.0000
67,05:25:00,05:25:00,93,2,0,0,7.3812
67,05:30:00,05:30:00,101,3,0,0,9.5439
67,05:34:00,05:34:00,67,4,0,0,12.0239
67,05:38:00,05:38:00,39472,5,0,0,14.4244
67,05:47:00,05:47:00,35,6,0,0,19.2027
67,05:53:00,05:53:00,34,7,0,0,23.5765
67,05:58:00,05:58:00,96,8,0,0,26.1384
